UniProtKB/Swiss-Prot ID	Gene name	Gene stable ID
P18898	CDC43	YGL155W
P53086	KIP3	YGL216W
Q12218	TIR4	YOR009W
Q9URQ5	HTL1	YCR020W-B
P26755	RFA3	YJL173C
P36008	TEF4	YKL081W
Q03186		YFL012W-A
Q06489	MRI1	YPR118W
P53750		YNR064C
Q07959	IZH3	YLR023C
P38315	YBP1	YBR216C
P36118	NTR2	YKR022C
Q06412	TUS1	YLR425W
Q03823		YMR160W
Q06328	YPQ2	YDR352W
P47089	TMA22	YJR014W
P06634	DED1	YOR204W
P43572	EPL1	YFL024C
P39683	NPT1	YOR209C
Q05612		YDR278C
P40483		YIL108W
P33334	PRP8	YHR165C
P34166	MFA2	YNL145W
Q6B0Y5		YMR046W-A
P53754		YNR068C
P36079		YKL083W
P38751	SHU1	YHL006C
P27882	ERV1	YGR029W
P18888	SNF6	YHL025W
P53128	MET13	YGL125W
P57744	TIM8	YJR135W-A
A0A023PZF9		YIR023C-A
P53224	ORM1	YGR038W
P16965	STF2	YGR008C
P30665	MCM4	YPR019W
P39923	NPR2	YEL062W
P42838	LEM3	YNL323W
P38921	PET8	YNL003C
P25656	CDC50	YCR094W
P0CS90	SSC1	YJR045C
Q08963	LEA1	YPL213W
P38347	EFM2	YBR271W
Q3E7C1	TFB5	YDR079C-A
Q01722	GCR2	YNL199C
P38863	SPC97	YHR172W
P39973		YEL074W
P53954	ALG11	YNL048W
O13525	COQ4	YDR204W
P38702	LEU5	YHR002W
P32591	SWI3	YJL176C
P39542		YJL193W
Q12134	HUA2	YOR284W
P32793	YSC84	YHR016C
P43579	IES1	YFL013C
P47162		YJR128W
Q06490	THI22	YPR121W
P22134	MAG1	YER142C
P53315	SOL4	YGR248W
Q02799	LEE1	YPL054W
P0C5L9		YDL247W-A
P40514		YIL067C
P52290	DIA3	YDL024C
P53010	PAN2	YGL094C
P53279	FHN1	YGR131W
P36002	PTK1	YKL198C
P25367	RNQ1	YCL028W
P32854	PEP12	YOR036W
Q08003	RFU1	YLR073C
P40023	EDC2	YER035W
P09440	MIS1	YBR084W
P32361	IRE1	YHR079C
P38719	DBP8	YHR169W
P53942	RNH201	YNL072W
P39524	DRS2	YAL026C
P31377	SYN8	YAL014C
P53290	GTR2	YGR163W
P38780		YHR054C
Q02933	RNY1	YPL123C
Q04585		YDR109C
P32478	HSP150	YJL159W
P08640		YIR019C
Q12232	SLP1	YOR154W
P43557	FMP32	YFL046W
Q03306	PKH3	YDR466W
P32892	DRS1	YLL008W
Q03148	SNZ1	YMR096W
Q12226	AYT1	YLL063C
Q06205	FPR4	YLR449W
P38241	ECM2	YBR065C
P53866	SQS1	YNL224C
P53273		YGR125W
Q02792	RAT1	YOR048C
Q12245	POC4	YPL144W
P38144	ISW1	YBR245C
Q02205	MEH1	YKR007W
Q03099		YML133C
Q08232	DSC2	YOL073C
Q3E752	SPO24	YPR036W-A
P32385	RNP1	YLL046C
P47912	FAA4	YMR246W
Q12333	FRE7	YOL152W
Q04062	RPN9	YDR427W
Q6B0Y6		YMR052C-A
P40088	FTR1	YER145C
P10849	MTF2	YDL044C
P40958	MAD2	YJL030W
P52893	ALT1	YLR089C
P47050	RTT101	YJL047C
P0C5Q8		YNL067W-A
Q99393	IZH4	YOL101C
P48439	OST3	YOR085W
P50873	MRK1	YDL079C
P18238	AAC3	YBR085W
P32644	ECM32	YER176W
P09119	CDC6	YJL194W
P32491	MKK2	YPL140C
Q12276	HER1	YOR227W
P40045	TDA2	YER071C
P53334	SCW4	YGR279C
Q08957	AFT2	YPL202C
P39007	STT3	YGL022W
P11709	BIK1	YCL029C
P38009	ADE17	YMR120C
O13518		YPL114W
P46671	FAR3	YMR052W
Q12330	SME1	YOR159C
Q07950	YEH2	YLR020C
Q8TGT0		YML100W-A
P38080	AKL1	YBR059C
Q04693	RSE1	YML049C
P36158		YKR078W
P0C5E0		YDR193W
Q08533		YOR146W
Q08887	NDD1	YOR372C
P39541		YJL195C
P53327	SLH1	YGR271W
P32838	PPG1	YNR032W
P40356	PGD1	YGL025C
P40539		YIL028W
Q06324	MMR1	YLR190W
P40464	FLX1	YIL134W
	HNT2	YDR305C
P46675	STU2	YLR045C
Q05874	NNT1	YLR285W
Q06405	ATP17	YDR377W
P47146	ABM1	YJR108W
P21576	VPS1	YKR001C
O13515		YAL034C-B
P80235	YAT1	YAR035W
P38712	RRP3	YHR065C
P38084	BAP2	YBR068C
Q04746	KAR5	YMR065W
P38354		YBR285W
Q12453	CEX1	YOR112W
Q03153	ATP25	YMR098C
P25651	CSM1	YCR086W
P32843	YME2	YMR302C
P38805	RPF1	YHR088W
O13554	VPS65	YLR322W
P46945		YGL176C
Q04922	MFB1	YDR219C
P27466	CMK1	YFR014C
P53219	IMO32	YGR031W
P40092	SPI1	YER150W
P38225	FAT1	YBR041W
Q06218	DBP9	YLR276C
Q04048	SYF1	YDR416W
P33317	DUT1	YBR252W
Q6B0Y7		YMR075C-A
Q08910		YOR387C
Q06139	CIS1	YLR346C
P29311	BMH1	YER177W
P36121	RPC37	YKR025W
P38179	ALG3	YBL082C
P53143		YGL102C
P02294	HTB2	YBL002W
P53300		YGR182C
Q12206	WTM2	YOR229W
P53397	OGG1	YML060W
Q06344	ESF1	YDR365C
P0CE98		YLR156W
P0CE96		YLR156W
P0CE97		YLR156W
P40161	RTT106	YNL206C
P53216		YGR025W
Q03308	VPS16	YPL045W
P53135	SLD3	YGL113W
P30771	NAM7	YMR080C
P38169	BNA4	YBL098W
Q03796	TPP1	YMR156C
Q07684	MFG1	YDL233W
Q08981	ACM1	YPL267W
P41695	BUB1	YGR188C
Q12098	SLX4	YLR135W
P53748		YNR062C
P40450	BNR1	YIL159W
P53032	SUT1	YGL162W
P19541	RDS2	YPL133C
P40163		YNL203C
P32343	SSH4	YKL124W
O13549	VPS63	YLR261C
P25350		YCR006C
P36224	JNM1	YMR294W
Q08474	VAM10	YOR068C
P53840	TOF1	YNL273W
P40552	TIR3	YIL011W
Q3E805		YOR376W-A
P25372	TRX3	YCR083W
P53154	GUP1	YGL084C
P25569	GID7	YCL039W
Q3E817		YFL041W-A
Q05533	INM2	YDR287W
Q08222		YOL050C
		YLL066C
P43623	IRC7	YFR055W
P43596	IOC3	YFR013W
Q12182		YOR342C
P39962	YCK3	YER123W
P33315	TKL2	YBR117C
Q08023	FMP25	YLR077W
Q08207		YOL035C
P29589	AHT1	YHR093W
P39995	EAF5	YEL018W
Q02455	MLP1	YKR095W
Q08686	TUM1	YOR251C
P38314	SDS24	YBR214W
Q08411		YOR041C
Q02336	ADA2	YDR448W
Q08979	KEL3	YPL263C
Q04002	SCC2	YDR180W
P40072	SLX8	YER116C
P48527	MSY1	YPL097W
O13568		YPR130C
Q12375	ORT1	YOR130C
P53095	DSD1	YGL196W
P25567	SRO9	YCL037C
Q05567	DPL1	YDR294C
P38920	MLH1	YMR167W
P40156	RRG9	YNL213C
P32590	SSE2	YBR169C
P04840	POR1	YNL055C
Q03942	RKM2	YDR198C
P36006	MYO3	YKL129C
P39954	SAH1	YER043C
P50084	BNS1	YGR230W
P53888		YNL170W
P12686	MRP13	YGR084C
P34248	YPF1	YKL100C
P40481	HPM1	YIL110W
Q12196	RIO1	YOR119C
P18409	MDM10	YAL010C
P53080	EDC1	YGL222C
P39534	MBB1	YJL199C
P38734	MUP3	YHL036W
P36095	VPS24	YKL041W
Q12148		YDL163W
Q12168	ACF2	YLR144C
P40466	FKH1	YIL131C
P38812	GEP4	YHR100C
P27514	PHO91	YNR013C
Q06991	PUN1	YLR414C
Q08373		YOL166C
P40884	IMA5	YJL216C
P38815	YPT35	YHR105W
Q07967		YLR030W
Q8TGS6		YMR242W-A
P54867	SLG1	YOR008C
Q07534	HEM25	YDL119C
P38781	RSC30	YHR056C
P39727	ERV46	YAL042W
P19955	YMR31	YFR049W
P24280	SEC14	YMR079W
Q08108	PLB3	YOL011W
P53841	BSC4	YNL269W
P36032	MCH2	YKL221W
P38310	FTH1	YBR207W
P36098		YKL031W
P33313	CNS1	YBR155W
P32893	TRS65	YGR166W
Q04383	PLM2	YDR501W
P36154	AIM29	YKR074W
P43553	ALR2	YFL050C
Q12310	PRR2	YDL214C
P0C5N2		YGR122C-A
P40004	YEA4	YEL004W
P40086	COX15	YER141W
O13575		YPR177C
Q08681		YOR248W
P23291	YCK1	YHR135C
P14063	MRPL31	YKL138C
P47076	RPC17	YJL011C
P00549	CDC19	YAL038W
P13856	RSR1	YGR152C
P06633	HIS3	YOR202W
P35725		YKL063C
	ATP23	YNR020C
P38969	PNT1	YOR266W
P49573	CTR1	YPR124W
P39010	AKR1	YDR264C
P40469	MET18	YIL128W
P20134	SFL1	YOR140W
P39003	HXT6	YDR343C
P53959	COG6	YNL041C
Q06466	TDA6	YPR157W
P17106	CBF1	YJR060W
P39706	SWD1	YAR003W
P51996	YPT32	YGL210W
P47156	JHD2	YJR119C
Q06389	FRQ1	YDR373W
Q12480	AIM45	YPR004C
P02994	TEF1	YPR080W
Q12339	UTP23	YOR004W
Q12042		YPL162C
P38163	SRO77	YBL106C
Q08955	CSM4	YPL200W
Q99177	BRR1	YPR057W
P21372	PRP5	YBR237W
P40516	EFM4	YIL064W
P48524	BUL1	YMR275C
P07285	TRP4	YDR354W
P53857		YNL234W
Q12420	SNU66	YOR308C
Q03784	TRS23	YDR246W
Q03162	MUB1	YMR100W
Q06090	MRPL51	YPR100W
Q04066	BNA7	YDR428C
P47136	BUD4	YJR092W
P40512	PCI8	YIL071C
P47046	IRC8	YJL051W
P38868		YHR180W
P53325		YGR265W
Q12398	HMS1	YOR032C
Q05905	HRI1	YLR301W
P25578	PGS1	YCL004W
A0A023PZE8		YDR157W
Q06668	OMS1	YDR316W
P47121		YJR071W
P05374	CHO2	YGR157W
P53891		YNL165W
P07263	HTS1	YPR033C
Q07560	CRD1	YDL142C
P53924	DMA2	YNL116W
P15700	URA6	YKL024C
O13573		YLR252W
Q06436	MAG2	YLR427W
P53068	DOC1	YGL240W
Q06616		YPR174C
P53983	ASI3	YNL008C
Q3E757	RPL11B	YGR085C
P47152		YJR115W
P52553	YKE2	YLR200W
Q06524	SUE1	YPR151C
Q12041	MET32	YDR253C
Q07527	TRM3	YDL112W
P50089		YGR237C
P42845	STB1	YNL309W
P53720	SMM1	YNR015W
P36077	SRX1	YKL086W
P52924	COS10	YNR075W
P39015	STM1	YLR150W
P0CX22	YRF1-1	YDR545W
P0CX21	YRF1-1	YDR545W
P0CX20	YRF1-1	YDR545W
Q00539	NAM8	YHR086W
Q06624	AOS1	YPR180W
P38304	MED8	YBR193C
P23201	SPA2	YLL021W
P25602		YCL076W
P25371	ADP1	YCR011C
P53117	RRT6	YGL146C
Q07613		YDL187C
P39725		YAL045C
P53112	PEX14	YGL153W
P47077	NOP9	YJL010C
Q12300	RGT2	YDL138W
P43616	DUG1	YFR044C
P38115	ARA1	YBR149W
P26364	ADK2	YER170W
P47029	ALY2	YJL084C
A0A0B7P221	RDT1	YCL054W-A
Q04429	HLR1	YDR528W
P36016	LHS1	YKL073W
P25362	PET18	YCR020C
P47821	SSN8	YNL025C
P38845	CRP1	YHR146W
P38881	NVJ1	YHR195W
P37264		YCL065W
Q02204	MRPL13	YKR006C
Q00723	PRP38	YGR075C
Q3E760		YMR030W-A
Q12382	DGK1	YOR311C
Q05521	DPP1	YDR284C
P00942	TPI1	YDR050C
P48353	HLJ1	YMR161W
P53947		YNL058C
P39955	SAP1	YER047C
Q12438	GRX6	YDL010W
P42842	EMW1	YNL313C
Q07418	PEX19	YDL065C
Q06325	YPS7	YDR349C
P36096	TUL1	YKL034W
P25385	BOS1	YLR078C
Q8TGU2		YFR032C-B
P38215		YBR013C
P52910	ACS2	YLR153C
P36072		YKL118W
Q12368	SNU23	YDL098C
P39926	SSO2	YMR183C
Q08157		YOL019W
P38827	SET1	YHR119W
Q06058		YLR404W
P07272	PPR1	YLR014C
P48365	GYP7	YDL234C
P53921		YNL122C
Q8TGR2		YFR034W-A
P38688	SRP72	YPL210C
P12887	UNG1	YML021C
Q08281	RTC1	YOL138C
P02381	VAR1	Q0140
P32634	PMD1	YER132C
P25375	PRD1	YCL057W
Q04601	APC4	YDR118W
Q07798	SPO75	YLL005C
P39977		YEL068C
P14742	GFA1	YKL104C
P28742	KIP1	YBL063W
P0C5L7		YDR118W-A
Q12068	GRE2	YOL151W
Q3E756		YBL029C-A
P46674	SAC3	YDR159W
P40053	AIM9	YER080W
P38690		YHR033W
P10869	HOM3	YER052C
P25594	VBA3	YCL069W
P38911	FPR3	YML074C
P47101	RBH2	YJR030C
P52892	ALT2	YDR111C
Q03897	MTC5	YDR128W
P47021		YJL119C
P0CW40	IMA4	YJL221C
P0CW41	IMA4	YJL221C
P39928	SLN1	YIL147C
P40457	MLP2	YIL149C
P15801	MIP1	YOR330C
P28743	KIP2	YPL155C
P32579	SUA5	YGL169W
P38279	RTC2	YBR147W
P48362	HGH1	YGR187C
Q99260	YPT6	YLR262C
Q12448		YDL034W
P21524	RNR1	YER070W
P47171	HIR3	YJR140C
Q08971		YPL225W
O13516	RPS9A	YPL081W
P13586	PMR1	YGL167C
P53231		YGR050C
P47187	COS5	YJR161C
Q08903		YOR379C
P38332	RRT2	YBR246W
Q05898		YLR296W
P41819	DIM1	YPL266W
Q03798	AIM36	YMR157C
P35196	RER2	YBR002C
P13099	TOP3	YLR234W
Q04458	HFD1	YMR110C
Q45U48		YGR035W-A
P50077	CCH1	YGR217W
P32461	DPH2	YKL191W
Q12167	RRG1	YDR065W
P11914	MAS2	YHR024C
P36135	UTH1	YKR042W
P38728	ECM34	YHL043W
P13186	KIN2	YLR096W
P53598	LSC1	YOR142W
P53244	ART5	YGR068C
Q9ZZX0	AI5_BETA	Q0075
P0CX14	YRF1-3	YGR296W
P0CX15	YRF1-3	YGR296W
P38732	EFM1	YHL039W
P53296	ATF2	YGR177C
Q06152	CMG1	YLR271W
Q08734		YOR268C
P29465	CHS3	YBR023C
Q12428	PDH1	YPR002W
Q12165	ATP16	YDL004W
Q99341	FYV1	YDR024W
Q3E754	RPS21B	YJL136C
Q07979	RSC58	YLR033W
P53551	HHO1	YPL127C
P38110	TEL1	YBL088C
P40002	MIT1	YEL007W
P34227	PRX1	YBL064C
Q12680	GLT1	YDL171C
P36110	PRY2	YKR013W
P32790	SLA1	YBL007C
P38961	RRP8	YDR083W
P53933	APP1	YNL094W
P32606	PET127	YOR017W
Q03280	TOM1	YDR457W
P0CE86	PAU21	YOR394W
P0CE87	PAU21	YOR394W
A0A023PXC7		YER068C-A
Q99359	RAD61	YDR014W
Q03151	MTG1	YMR097C
P21691	SIR1	YKR101W
Q04461		YMR111C
Q05854		YLR278C
Q06103	RPN7	YPR108W
Q08272		YOL134C
Q03466	EBS1	YDR206W
P46958	IDS2	YJL146W
P40993	SNM1	YDR478W
Q12001	ALG6	YOR002W
P32857	PTM1	YKL039W
P38783	FYV4	YHR059W
Q01684	SPR6	YER115C
P32773	TOA1	YOR194C
P36036	YRA2	YKL214C
Q12235	YCT1	YLL055W
P33309	DOM34	YNL001W
Q3E758		YHL048C-A
P40484	MOB1	YIL106W
P53163	MNP1	YGL068W
Q06608		YPR172W
Q04231	RAD33	YML011C
P22336	RFA1	YAR007C
P25046	ROX3	YBL093C
Q06149	PDR8	YLR266C
P36056	RSM22	YKL155C
P42841	PFS2	YNL317W
P43535	GCN20	YFR009W
Q07829	RRT7	YLL030C
Q06597	ARR2	YPR200C
Q8TGQ2		YCR045W-A
P38174	MAP2	YBL091C
Q12427	STB3	YDR169C
P32493	AEP1	YMR064W
P25380	SPS22	YCL048W
Q04598	MRX14	YDR115W
Q3E774		YDL159W-A
P53962		YNL035C
P23968	VMA16	YHR026W
Q99380	OST4	YDL232W
P0C5L8		YDL240C-A
P38112	MAK5	YBR142W
P25294	SIS1	YNL007C
O14467	MBF1	YOR298C-A
P53769	CWC24	YLR323C
P33895	NUF2	YOL069W
P47039	BNA3	YJL060W
Q3E7A8		YNL162W-A
P38231	FMP23	YBR047W
P40049		YER076C
Q12394		YDL152W
P38330		YBR238C
Q07913	NSE1	YLR007W
P38903	RTS1	YOR014W
Q01560	NPL3	YDR432W
Q8TGT1		YLR406C-A
P27654	TIP1	YBR067C
P03962	URA3	YEL021W
P07283	SEC53	YFL045C
P61830	HHT1	YBR010W
P12689	REV1	YOR346W
P53193	JAC1	YGL018C
P28708	PRR1	YKL116C
P36165	TGL4	YKR089C
Q04533		YML082W
P0C5L6		YDL022C-A
P14772	BPT1	YLL015W
Q02785	PDR12	YPL058C
P40323		YPL073C
P04046	ADE4	YMR300C
Q08416	IRC23	YOR044W
P39990	SNU13	YEL026W
P36114		YKR018C
P0C5M5		YDL114W-A
P53735	ZRG17	YNR039C
A0A023PXI5		YPR197C
Q8TGQ9		YNL103W-A
P32584	STE14	YDR410C
P53098		YGL188C
P36159	TRZ1	YKR079C
P40557	EPS1	YIL005W
P46956	PHO86	YJL117W
Q8TGP5		YDR464C-A
Q06135	GAS2	YLR343W
P34219	TOD6	YBL054W
P38855	PEX18	YHR160C
P20424	SRP54	YPR088C
Q07451	YET3	YDL072C
Q07790		YDR053W
O13550		YLR269C
Q12489		YDL012C
P00424	COX5A	YNL052W
Q03375	CWC21	YDR482C
P38430		YMR262W
Q07442	BDF2	YDL070W
P36058		YKL153W
P38311		YBR209W
Q12060	HFI1	YPL254W
Q12033	RIM20	YOR275C
P53922		YNL120C
Q12343	MED4	YOR174W
P18494	GLN3	YER040W
P53274		YGR126W
P34225	YEL1	YBL060W
P05756	RPS13	YDR064W
P43636	ALG2	YGL065C
P36101	TCD2	YKL027W
P25339	PUF4	YGL014W
P38252		YBR089W
Q12434	RDI1	YDL135C
P53011	SEH1	YGL100W
P24871	CLB4	YLR210W
Q07468	VAM6	YDL077C
P38219	OLA1	YBR025C
Q05050	EIS1	YMR031C
P37291	SHM2	YLR058C
P53338	MAL13	YGR288W
P53438	SOK2	YMR016C
Q04748	SOV1	YMR066W
Q8TGP6		YDR354C-A
P38803	IPI1	YHR085W
P40693	RLP7	YNL002C
P22023	KRE5	YOR336W
P40442		YIL169C
P40339	RFC4	YOL094C
P39997	NPP2	YEL016C
Q12530	RMP1	YLR145W
P0CX99		YFL068W
P0CY00		YFL068W
P0CY01		YFL068W
P38821	APE4	YHR113W
Q12396	EMP46	YLR080W
Q03675		YMR007W
P46947	BUD13	YGL174W
Q12093	SLM3	YDL033C
Q06200	ECM7	YLR443W
P07274	PFY1	YOR122C
P47005	DAS1	YJL149W
P0C5P2		YKL100W-A
Q08693	TRE2	YOR256C
P31109	SNC1	YAL030W
Q12389	DBP10	YDL031W
P25342	CDC10	YCR002C
P28519	RAD14	YMR201C
Q04177	UTP5	YDR398W
P49167	RPL38	YLR325C
P32861	UGP1	YKL035W
P22141	PRE1	YER012W
A5Z2X5		YPR010C-A
P38224	FIG1	YBR040W
P38865	CTR2	YHR175W
P25359	RRP43	YCR035C
Q08969	GRE1	YPL223C
P38325	OM14	YBR230C
P39547	UIP3	YAR027W
Q08280	BSC6	YOL137W
P24720	MNE1	YOR350C
Q12004	TFB4	YPR056W
P41800	MMM1	YLL006W
P32875	LIP5	YOR196C
Q06681	YSP2	YDR326C
P53303	ZPR1	YGR211W
Q12031	ICL2	YPR006C
P36078	HOT13	YKL084W
P10862	RAD18	YCR066W
P32529	RPA12	YJR063W
P40105	YRF1-2	YER190W
Q05670	FUS2	YMR232W
P53089		YGL204C
P33333	SLC1	YDL052C
P40100	PUG1	YER185W
Q08004	BUD20	YLR074C
Q08904	RDR1	YOR380W
P40104		YER189W
Q03691	ROT1	YMR200W
P09232	PRB1	YEL060C
P43599		YFR018C
P00729	PRC1	YMR297W
P39932	STL1	YDR536W
P0C5R0		YOR314W-A
Q06158		YLR311C
P40340	YTA7	YGR270W
Q92317	NCB2	YDR397C
P32317	AFG1	YEL052W
P80667	PEX13	YLR191W
P42843	SKP2	YNL311C
P36039		YKL207W
P52891	NUP84	YDL116W
P39718	PEX22	YAL055W
P40365		YJL067W
A0A023PXP4		YLR235C
P22804	BET1	YIL004C
P06244	TPK1	YJL164C
P40091	PEA2	YER149C
P0CX56	RPS18B	YML026C
P0CX55	RPS18B	YML026C
Q3E7Y9		YOL097W-A
P07270	PHO4	YFR034C
P0CE89	PAU1	YJL223C
P0CE88	PAU1	YJL223C
Q08900		YOR376W
P45978	SCD6	YPR129W
P00410	COX2	Q0250
P47032	PRY1	YJL079C
P48589	RPS12	YOR369C
P40344	ATG3	YNR007C
P0C5Q1		YLR364C-A
P32899	IMP3	YHR148W
Q06596	ARR1	YPR199C
Q00816	REG1	YDR028C
Q02781		YPL062W
P06197	PIS1	YPR113W
P07245	ADE3	YGR204W
Q12092	ATG29	YPL166W
P40327	RPT2	YDL007W
Q03718	NSE5	YML023C
P0CX51	RPS16A	YMR143W
P0CX52	RPS16A	YMR143W
P53326		YGR266W
Q12233	ATP20	YPR020W
Q04772	IRC21	YMR073C
P41821	MID1	YNL291C
P40168		YNL195C
P0CX82	RPL19B	YBL027W
P0CX83	RPL19B	YBL027W
Q03778	FMN1	YDR236C
P32568	SNQ2	YDR011W
P14832	CPR1	YDR155C
P27999	RPB9	YGL070C
P26637	CDC60	YPL160W
Q04636	POB3	YML069W
P48231	TCB2	YNL087W
Q08271	GAS4	YOL132W
P40107	VRG4	YGL225W
P25302	SWI4	YER111C
Q04689	AIM32	YML050W
P16151	ERD1	YDR414C
Q12457	NSI1	YDR026C
P38168		YBL100C
P40570		YIR014W
Q02574	MEC3	YLR288C
P41909	PXA1	YPL147W
Q07454	AHK1	YDL073W
P53131	PRP43	YGL120C
P39714	BDH1	YAL060W
P40152		YNL217W
P40578	MGA2	YIR033W
P54861	DNM1	YLL001W
P00431	CCP1	YKR066C
Q06078	UTP21	YLR409C
P38891	BAT1	YHR208W
P53966	KTR5	YNL029C
P38755	OSH7	YHR001W
Q12385	ICT1	YLR099C
P0C5N9		YJL156W-A
P21192	ACE2	YLR131C
P40054	SER3	YER081W
Q07532	IWR1	YDL115C
Q02873		YPL107W
Q08748		YOR296W
P40011		YER010C
Q6B2I9		YML099W-A
P23561	STE11	YLR362W
P32581	IME2	YJL106W
P09032	GCD1	YOR260W
P38340	TAE1	YBR261C
P40485	SLM1	YIL105C
Q99257	MEX67	YPL169C
P53622	COP1	YDL145C
P0C5R7		YPR169W-A
P46992	TOH1	YJL171C
P53728	CPR8	YNR028W
P0C5R8		YPR170W-A
P40014	SPC25	YER018C
Q03652	DML1	YMR211W
P0CE41	HAP1	YLR256W
P31374	PSK1	YAL017W
A0A023PXI4		YDR203W
P47041	BIT61	YJL058C
P32336	NUD1	YOR373W
P40188	RGI2	YIL057C
P38835		YHR131C
Q12247	FYV7	YLR068W
Q6B0W2		YPR014C
O13533		YHR049C-A
P43122	QRI7	YDL104C
P40547	VID28	YIL017C
P53982	IDP3	YNL009W
P38074	HMT1	YBR034C
Q12527	ATG11	YPR049C
Q02896	YDC1	YPL087W
P47014		YJL132W
P40465	CSM2	YIL132C
P28707	SBA1	YKL117W
P34163	TGL1	YKL140W
Q06108	RGC1	YPR115W
Q99321	DDP1	YOR163W
P23796	RIT1	YMR283C
P28495	CAP1	YKL007W
Q8TGJ3	KSH1	YNL024C-A
Q12142	ATG9	YDL149W
Q08027		YLR101C
Q03330	GCN5	YGR252W
Q12243		YOR029W
Q06134	SPO77	YLR341W
Q04935	COX20	YDR231C
Q04307	RPC11	YDR045C
Q08925	MRN1	YPL184C
P32328	DBF20	YPR111W
Q08994		YPR203W
P53141	MLC1	YGL106W
Q08213	NGL1	YOL042W
P17883	SKI3	YPR189W
P35735	SFK1	YKL051W
P53337	ERV29	YGR284C
P25719	CPR3	YML078W
P32798	COT1	YOR316C
P19524	MYO2	YOR326W
Q12244		YLL054C
Q3E7Y7		YOR293C-A
P25356	BPH1	YCR032W
P22209	KIN3	YAR018C
P40212	RPL13B	YMR142C
Q08206		YOL036W
P40989	GSC2	YGR032W
Q3E832		YOR072W-B
P09798	CDC16	YKL022C
P40513	MAM33	YIL070C
Q12406	ARP7	YPR034W
Q08929	GUP2	YPL189W
P27614	CPS1	YJL172W
P22203	VMA4	YOR332W
P23644	TOM40	YMR203W
P0C2H8	RPL31A	YDL075W
P39971		YEL076C
P53823	SNO2	YNL334C
Q04272	VPS20	YMR077C
Q12442	IZH2	YOL002C
	MAK11	YKL021C
Q04033		YDR415C
P53826		YNL319W
P48564	MRX6	YNL295W
Q05498	FCF1	YDR339C
A0A023PYD9		YEL018C-A
	CBP4	YGR174C
Q04019		YMR245W
P47151		YJR114W
Q12270	RBD2	YPL246C
P08004	CHS1	YNL192W
Q07623	NOP6	YDL213C
Q00711	SDH1	YKL148C
P25586	KRR1	YCL059C
Q3E746		YHR086W-A
Q06287	EMG1	YLR186W
Q08580	PEX27	YOR193W
P40310	TOK1	YJL093C
P46996		YJL163C
P47180	PGU1	YJR153W
P32807	YKU70	YMR284W
P38260	FES1	YBR101C
P40341	YTA12	YMR089C
P40046	VTC1	YER072W
P46988	PFD1	YJL179W
P53903	PGA2	YNL149C
P42941	SER2	YGR208W
P0CX27	RPL42B	YHR141C
P0CX28	RPL42B	YHR141C
P38861	NMD3	YHR170W
Q03833	GIS1	YDR096W
Q02724	ULP1	YPL020C
P40061	TSC11	YER093C
P32767	KAP122	YGL016W
Q12429	DPH6	YLR143W
P12695	LAT1	YNL071W
P32862	RGT1	YKL038W
Q05930	MDM30	YLR368W
P53318	COQ6	YGR255C
P18496	ATP10	YLR393W
Q12451	OSH2	YDL019C
Q00055	GPD1	YDL022W
P23180	AIM17	YHL021C
P25646	PTC6	YCR079W
Q08647	PUS7	YOR243C
P41734	IAH1	YOR126C
P87266		YDR413C
Q04170		YDR391C
P47127	AIM24	YJR080C
P40207	ERG29	YMR134W
P53936		YNL089C
Q08484	GYP1	YOR070C
P36070	RRN3	YKL125W
P51533	PDR10	YOR328W
P48743	RFX1	YLR176C
P42846	KRI1	YNL308C
O13588		YAL069W
Q8TGT9		YGR146C-A
P47056	IRC18	YJL037W
Q03195	RLI1	YDR091C
P38799		YHR078W
P53096	HOS2	YGL194C
P42949	PAM16	YJL104W
P39712	FLO9	YAL063C
Q12365	BBP1	YPL255W
Q9ZZX8		Q0017
P16387	PDA1	YER178W
	LAP3	YNL239W
A0A023PZH5		YMR290W-A
P47047	MTR4	YJL050W
Q07074		YHR007C-A
Q12288		YLR126C
Q3E798	MIM2	YLR099W-A
Q08952	OXR1	YPL196W
Q01454	CTF4	YPR135W
P53122		YGL138C
P38727		YHL044W
P40019	CHZ1	YER030W
Q03782	SNU56	YDR240C
P49704	PRP31	YGR091W
P43606	PTR3	YFR029W
P32801	ELM1	YKL048C
Q12326	GPM3	YOL056W
A0A023PZI1	OPI11	YPR044C
P20676	NUP1	YOR098C
P41543	OST1	YJL002C
P53838	BOR1	YNL275W
Q07748	THI13	YDL244W
Q03981	CSN9	YDR179C
P54115	ALD6	YPL061W
P06100	CDC36	YDL165W
P42935	ELP2	YGR200C
P04050	RPO21	YDL140C
P47130		YJR084W
Q03144	SNO1	YMR095C
P15565	TRM1	YDR120C
Q03446	RCR2	YDR003W
P41912	SHR5	YOL110W
P06775	HIP1	YGR191W
P53757		YNR071C
Q99314	SAS5	YOR213C
A0A023PXN9		YJL220W
P40891		YJL220W
Q8TGN7		YGR270C-A
Q02772	PET191	YJR034W
O13534		YHR214W-A
Q08689	NAT5	YOR253W
P32788		YBL010C
Q06410	ATG17	YLR423C
P35733		YKL053W
P41903	TES1	YJR019C
Q06488	RSC2	YLR357W
Q3E7B9		YOR008C-A
P38856	YAP1801	YHR161C
P38235		YBR053C
Q3E7A4	CMC2	YBL059C-A
Q99401		YPL238C
Q12460	NOP56	YLR197W
